"taxon"	"phylum"	"status"
"1"	"Abra alba"	"Bivalvia"	"Native"
"2"	"Abra nitida"	"Bivalvia"	"Native"
"3"	"Abyssoninoe hibernica"	"Polychaeta"	"Native"
"4"	"Ampelisca brevicornis"	"Amphipoda"	"Native"
"5"	"Ampelisca macrocephala"	"Amphipoda"	"Native"
"6"	"Ampelisca tenuicornis"	"Amphipoda"	"Native"
"7"	"Ampharete"	"Polychaeta"	"Native"
"8"	"Ampharete baltica"	"Polychaeta"	"Native"
"9"	"Ampharete falcata"	"Polychaeta"	"Native"
"10"	"Ampharete finmarchia (lindstroemi)"	"Polychaeta"	"Native"
"11"	"Amphiura"	"Ophiuroidea"	"Native"
"12"	"Amphiura chiajei"	"Ophiuroidea"	"Native"
"13"	"Amphiura filiformis"	"Ophiuroidea"	"Native"
"14"	"Anobothrus gracilis"	"Polychaeta"	"Native"
"15"	"Aoroidae"	"Amphipoda"	"Native"
"16"	"Aphrodita aculeata"	"Polychaeta"	"Native"
"17"	"Arctica islandica"	"Bivalvia"	"Native"
"18"	"Artacama proboscidea"	"Polychaeta"	"Native"
"19"	"Bathyporeia pilosa"	"Amphipoda"	"Native"
"20"	"Brada villosa"	"Polychaeta"	"Native"
"21"	"Brissopsis lyrifera"	"Echinoidea"	"Native"
"22"	"Bylgides sarsi"	"Polychaeta"	"Native"
"23"	"Callianassa subterranea"	"Decapoda"	"Native"
"24"	"Capitella capitata"	"Polychaeta"	"Native"
"25"	"Caulleriella (Tharyx) killariensis"	"Polychaeta"	"Native"
"26"	"Cerastoderma glaucum"	"Bivalvia"	"Native"
"27"	"Chaetozone setosa"	"Polychaeta"	"Native"
"28"	"Chamelea striatula"	"Bivalvia"	"Native"
"29"	"Chironomidae"	"Insecta"	"Native"
"30"	"Corbula gibba"	"Bivalvia"	"Native"
"31"	"Corophium volutator"	"Amphipoda"	"Native"
"32"	"Cyathura carinata"	"Isopoda"	"Native"
"33"	"Cylichna"	"Gastropoda"	"Native"
"34"	"Cylichna cylindracea"	"Gastropoda"	"Native"
"35"	"Diastylis"	"Cumacea"	"Native"
"36"	"Diastylis laevis"	"Cumacea"	"Native"
"37"	"Diastylis lucifera"	"Cumacea"	"Native"
"38"	"Diastylis rathkei"	"Cumacea"	"Native"
"39"	"Diplocirrus glaucus"	"Polychaeta"	"Native"
"40"	"Echinocardium cordatum"	"Echinoidea"	"Native"
"41"	"Edwardsiidae"	"Anthozoa"	"Native"
"42"	"Einhornia crustulenta"	"Bryozoa"	"Native"
"43"	"Ennucula tenuis"	"Bivalvia"	"Native"
"44"	"Eriopisa elongata"	"Amphipoda"	"Native"
"45"	"Eteone longa"	"Polychaeta"	"Native"
"46"	"Eudorella emarginata"	"Cumacea"	"Native"
"47"	"Eudorella truncatula"	"Cumacea"	"Native"
"48"	"Eumida bahusiensis"	"Polychaeta"	"Native"
"49"	"Euspira"	"Gastropoda"	"Native"
"50"	"Galathowenia oculata"	"Polychaeta"	"Native"
"51"	"Gammarus"	"Amphipoda"	"Native"
"52"	"Gattyana amondseni"	"Polychaeta"	"Native"
"53"	"Glycera alba"	"Polychaeta"	"Native"
"54"	"Glycera unicornis (rouxii)"	"Polychaeta"	"Native"
"55"	"Glycinde nordmanni"	"Polychaeta"	"Native"
"56"	"Golfingia"	"Sipuncula"	"Native"
"57"	"Goniada maculata"	"Polychaeta"	"Native"
"58"	"Halicryptus spinulosus"	"Priapulida"	"Native"
"59"	"Harpinia antennaria"	"Amphipoda"	"Native"
"60"	"Hediste diversicolor"	"Polychaeta"	"Native"
"61"	"Heteromastus filiformis"	"Polychaeta"	"Native"
"62"	"Hyala vitrea"	"Gastropoda"	"Native"
"63"	"Hydrobia"	"Gastropoda"	"Native"
"64"	"Idotea balthica"	"Isopoda"	"Native"
"65"	"Idothea chelipes"	"Isopoda"	"Native"
"66"	"Jaera albifrons"	"Isopoda"	"Native"
"67"	"Labidoplax buskii"	"Holothuroidea"	"Native"
"68"	"Laonice bahusiensis"	"Polychaeta"	"Native"
"69"	"Laonice cirrata"	"Polychaeta"	"Native"
"70"	"Leucon nasica"	"Cumacea"	"Native"
"71"	"Leucothoe lilljborgii"	"Amphipoda"	"Native"
"72"	"Levinsenia gracilis"	"Polychaeta"	"Native"
"73"	"Limecola balthica"	"Bivalvia"	"Native"
"74"	"Littorina saxatilis"	"Bivalvia"	"Native"
"75"	"Lumbrineris"	"Polychaeta"	"Native"
"76"	"Macoma calcarea"	"Bivalvia"	"Native"
"77"	"Magelona alleni"	"Polychaeta"	"Native"
"78"	"Magelona minuta"	"Polychaeta"	"Native"
"79"	"Magelona mirabilis"	"Polychaeta"	"Native"
"80"	"Maldane sarsi"	"Polychaeta"	"Native"
"81"	"Marenzelleria"	"Polychaeta"	"Non-indigenous"
"82"	"Melinna cristata"	"Polychaeta"	"Native"
"83"	"Microdeutopus"	"Amphipoda"	"Native"
"84"	"Monoporeia affinis"	"Amphipoda"	"Native"
"85"	"Mya arenaria"	"Bivalvia"	"Non-indigenous"
"86"	"Myrtea spinifera"	"Bivalvia"	"Native"
"87"	"Mysella bidentata"	"Bivalvia"	"Native"
"88"	"Mysia undata"	"Bivalvia"	"Native"
"89"	"Mysidae"	"Mysidae"	"Native"
"90"	"Mytilus edulis"	"Bivalvia"	"Native"
"91"	"Nassarius incrassatus"	"Gastropoda"	"Native"
"92"	"Nemertea"	"Nemertea"	"Native"
