"station"	"year"	"month"	"lon"	"lat"	"Abra alba"	"Abra nitida"	"Abyssoninoe hibernica"	"Ampelisca brevicornis"	"Ampelisca macrocephala"	"Ampelisca tenuicornis"	"Ampharete"	"Ampharete baltica"	"Ampharete falcata"	"Ampharete finmarchia (lindstroemi)"	"Amphiura"	"Amphiura chiajei"	"Amphiura filiformis"	"Anobothrus gracilis"	"Aoroidae"	"Aphrodita aculeata"	"Arctica islandica"	"Artacama proboscidea"	"Bathyporeia pilosa"	"Brada villosa"	"Brissopsis lyrifera"	"Bylgides sarsi"	"Callianassa subterranea"	"Capitella capitata"	"Caulleriella (Tharyx) killariensis"	"Cerastoderma glaucum"	"Chaetozone setosa"	"Chamelea striatula"	"Chironomidae"	"Corbula gibba"	"Corophium volutator"	"Cyathura carinata"	"Cylichna"	"Cylichna cylindracea"	"Diastylis"	"Diastylis laevis"	"Diastylis lucifera"	"Diastylis rathkei"	"Diplocirrus glaucus"	"Echinocardium cordatum"	"Edwardsiidae"	"Einhornia crustulenta"	"Ennucula tenuis"	"Eriopisa elongata"	"Eteone longa"	"Eudorella emarginata"	"Eudorella truncatula"	"Eumida bahusiensis"	"Euspira"	"Galathowenia oculata"	"Gammarus"	"Gattyana amondseni"	"Glycera alba"	"Glycera unicornis (rouxii)"	"Glycinde nordmanni"	"Golfingia"	"Goniada maculata"	"Halicryptus spinulosus"	"Harpinia antennaria"	"Hediste diversicolor"	"Heteromastus filiformis"	"Hyala vitrea"	"Hydrobia"	"Idotea balthica"	"Idothea chelipes"	"Jaera albifrons"	"Labidoplax buskii"	"Laonice bahusiensis"	"Laonice cirrata"	"Leucon nasica"	"Leucothoe lilljborgii"	"Levinsenia gracilis"	"Limecola balthica"	"Littorina saxatilis"	"Lumbrineris"	"Macoma calcarea"	"Magelona alleni"	"Magelona minuta"	"Magelona mirabilis"	"Maldane sarsi"	"Marenzelleria"	"Melinna cristata"	"Microdeutopus"	"Monoporeia affinis"	"Mya arenaria"	"Myrtea spinifera"	"Mysella bidentata"	"Mysia undata"	"Mysidae"	"Mytilus edulis"	"Nassarius incrassatus"	"Nemertea"	"Neomysis integer"	"Nephtys caeca"	"Nephtys ciliata"	"Nephtys hombergii"	"Nephtys incisa"	"Notomastus latericeus"	"Nucula nitidosa"	"Nucula sulcata"	"Nuculana pernula"	"Oligochaeta"	"Ophelina acuminata"	"Ophiura"	"Ophiura albida"	"Ostracoda"	"Owenia fusiformis"	"Oxydromus flexuosus"	"Paramphinome jeffreysi"	"Parvicardium minimum"	"Pectinaria auricoma"	"Pectinaria belgica"	"Pectinaria koreni"	"Pennatula phosphorea"	"Peringia ulvae"	"Perioculodes longimanus"	"Phascolion strombus"	"Phaxas pellucidus"	"Philine"	"Philine scabra"	"Philomedes"	"Pholoe baltica"	"Pholoe inornata"	"Pholoe minuta"	"Pholoe pallida"	"Phoronis muelleri"	"Phyllodoce groenlandica"	"Pisidium"	"Pistella lornensis"	"Polycirrus"	"Polydora ciliata"	"Polydora cornuta"	"Polynoidae"	"Polyphysia crassa"	"Pontoporeia femorata"	"Potamopyrgus antipodarum"	"Praxillella affinis"	"Praxillella praetermissa"	"Priapulus caudatus"	"Prionospio cirrifera"	"Prionospio fallax"	"Prionospio multibranchiata"	"Pygospio elegans"	"Rhodine gracilior"	"Rhodine loveni"	"Rissoa membranacea"	"Saduria entomon"	"Scalibregma inflatum"	"Scolelepis tridentata"	"Scoletoma fragilis"	"Scoletoma impatiens"	"Scoloplos armiger"	"Sphaerodorum gracilis (flavum)"	"Spiophanes bombyx"	"Spiophanes kroyeri (kroeyeri)"	"Spisula subtruncata"	"Streblospio benedicti"	"Tellimya (Montacuta) ferruginosa"	"Tellimya (Montacuta) tenella"	"Terebellides stroemi"	"Theodoxus fluviatilis"	"Thracia convexa"	"Thracia phaseolina"	"Thyasira"	"Thyasira equalis"	"Thyasira flexuosa"	"Thyasira sarsii"	"Trichobranchus roseus"	"Trochochaeta multisetosa"	"Turbellaria"	"Turritella communis"	"Virgularia mirabilis"	"Westwoodilla caecula"
"1"	936	2014	5	11.402	58.347	0.00025	0.00116	0.00526727598407784	0	0	0	0	0	0	0	0.679585176741508	0.154044621761658	0.605678	0.00064235072976559	0	0	0	0	0	0	0.5257	0	0	0	0	0	0.000675	0	0	0.00037523102310231	0	0	0	0.005848	0	0	0	0	0.0118793333333333	0.15504	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025051678460858	0	0	0.00902	0	0	0	0	0.002279	0	0	0	0	0	0.00308328350287483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258158943894389	0	0	0	0	0.00157	0	0	0	0	0.00278566666666667	0	0.002288	0	0	0	0	0.000373713298791019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.421848	0	0.00064235072976559	0.00064235072976559	0	0	0	0	0	0.0115133333333333	0	0	0	0	0.00064235072976559	0	0	0	0	0	0.00037523102310231	0.00134893653250774	0	0.178159689768977	0	0	0.00037523102310231	0	0	9e-04	0	0	0.0233345	0	0
"2"	222	2018	5	12.038	57.38	5e-04	0.06322	0	0	0	0	0	0	0	0	0.059794127806563	0	0.02325	0.00128470145953118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00300184818481848	0	0	0	0	0	0	0	0	0.00206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00300184818481848	0	0	0	0	0.00157	0	0	0	0	0	0	0.01056	0	0	0	0	0	0.03619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147	0	0	0	0.000552941176470588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	938	2010	5	11.69	57.67	0.00825	0.0841	0	0	0	0.00141	0	0	0	0	0.00224227979274611	0.00317656303972366	0.00279	0.00064235072976559	0	0	0	0.05735	0	0.00064235072976559	0.00665	0	0	0	0	0	0.00084375	0	0	0.00675415841584158	0	0	0	0	0	0	0	0	0.023175	0.062325	0.00134905555555556	0	0.00084	0	0	0	0	0.0016	0	0.00022	0	0	0	0	0	0	0.00164	0	0	0	0.000745	0.0061275	0	0	0	0	0	0	0	0	0.000619917315175097	0	0	0	0	0	0	0	0	0	0	0	0.000619917315175097	0	0	0	0	0.000345	0	0	0	0.01099	0	0	0	0	0.1140525	0.0808	0.33506	0	0	0	0	0.000373713298791019	0	0	0	0	0	0	0.00385410437859354	0.00513880583812472	0	0	0	0	0	0.0217866666666667	0.00311143266475645	0.00103714422158548	0	0.00294	0	0	0	0.000691176470588235	0	0	0.00620939038773404	0.00385410437859354	0	0	0	0	0	0	0	0	0.00231	0	0.00064235072976559	0	0	0.00064235072976559	0	0	0	0.0009625	0	0	0	0.00064235072976559	0.00064235072976559	0	0	0	0	0.00112569306930693	0	0.112411377708978	0	0.00075046204620462	0	0	0.00037523102310231	0.00336	0.00150092409240924	0.0007875	0	0.00260105263157895	0.0930725	0	0
"4"	912	2017	6	12.696	56.012	0.001195	0.01213592	0	0.0001125	0	0.0005781	0	0.000204166666666667	0	0	0.363049016096718	0.033081101208981	0.28842462	0.022289570322866	0	0	13.2439384	0	0	0.00112411377708978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.05508403361345e-05	0	0.000412	0.5787678	0	0	0.0141204	0	0.0025456	0	0	0	0	0.0009416	0	0	0.00091745	0.000102776116762494	0	0	0.0159244	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00057032392996109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00605472778877888	0	0	0	0	0.000748366666666667	0	0.0312048	0.1331984	0.0379729	0	0	0.28348672	0	0	0	5.985e-05	0.000408593206678181	0	0	0	0.00280213333333333	0	0	0.00105345519681557	0	0	0	0	0	0	0	0	0	0	0	0.0005004	0	0	0	0.013949	0	0	0	0	0	0	0	0	0	0	0.00548567523219814	0	0	0.00220711710747457	0	0	0	0	0	0	0.0015532	0	0	0	0.00306015887660327	0	0	0	0	0	0.00268365227722772	0	0	0	0	0	0	0	0.02196208	0.0592489785478548	0	0.0012936	0	0	4.04716666666667e-05	0
"5"	198	2012	4	12.064	57.446	0.023500000461936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00121999997273087	0	0.00121999997273087	0	0.0821040003776549	0	0	0	0.00300184811772195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0159840003043413	0.0101319998845458	0	0	0	0.00614968953263131	0	0	0	0	0	0	0	0.0629333313306172	0	0	0	0	0	0	0	0	0	0	0	0.0222466665220757	0	0	0	0	0.013280000012368	0.143370000386238	0.00156999996490777	0	0	0	0	0	0	0	0	0	0.000819999981671572	0	0	0	0	0	0	0	0	0	0	0.00835055941995028	0	0.157527996349335	0	0	0	0.0311143278839367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154164171697904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	939	2009	5	11.805	58.107	0.0019375	0.0019575	0	0	0	0	0	0	0	0.00256940291906236	0.00840854922279793	0.00672683937823834	0.004185	0.00578115656789031	0	0	0	0	0	0	0	0	0	0	0	0	0.00135	0	0	0.00037523102310231	0	0	0	0	0	0	0.000603672268907563	0.000595	0	0	0	0	0	0	0.00074	0	0	0	0	0.00022	0	0	0.059295	0	0	0	0.0041	0	0	0	0.00130375	0.00129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00225138613861386	0	0	0.000415	0	0.0121675	0	0	0	0	0.00274	0	0.00418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.07056	0	0.00064235072976559	0	0	0	0	0	0	0.004675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00084	0	0	0.00196	0	0	0	0
"11"	912	2007	5	12.696	56.012	0.000669	0.07731516	0	0	0.00868297519455253	0.001251375	0	0.0011	0	0	0.548582720414508	0.012673365388601	0.27414354	0.0364033005572755	0	0.1937124	1.5393092	0.064077	0	0.00321175364882795	0	0	0	0.0010248	0	0	8.1e-05	0	0	0.00946582794279428	0	0	0	0	0	0	0.000277689243697479	0	0.00238273333333333	0.5582478	0	0	0.00802368	0	0.001554	0	0	0	0	0.00142296	0	0	0.00732544	0	0	0	0.00488064	0	0	0	0.0003725	0.0011997	0	0	0	0	0	0	0	0	0	0.000124875	0	0	0	0	1.596e-05	0	0	0.00794373735810113	0	0	0	0	0	0	0.00497856521452145	0	0	0	0	0.027047175	0	0	0.0104862666666667	0.0101308666666667	0	0	0.09283296	0	0.0964618898789879	0	0.009160375	0	7.315e-05	0	0	0.0011786	0	0	0.0058486033945157	0	0	0	0.001189	0	0	0.00369664	0	0	0	0	0.00527922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00481763047324193	0.0001764	0	0.0288877970190181	0	0	0.00331881210378888	0	0.0001734	0	0.004191	0	0.0797093020566121	0	0.000909568633348076	2.56940291906236e-05	0.0026344	0.000205552233524989	0	0	0.00267164488448845	0	0.0570921328615657	0	0	0	0	0	0.01318464	0	0	0.0053655	0	0	0.000121415	0
"12"	945	2013	5	11.041	57.932	0.03275	0.0305466666666667	0.00385410437859354	0	0	0.000705	0	0	0	0	1.15776379965458	0.097663742084053	0.91791	0	0	0.30996	0	0	0	0.0115623131357806	0.636533333333333	0	0	0	0	0	0.00135	0	0	0	0	0	0	0.00306	0	0.00107	0.00150918067226891	0	0.0171666666666667	0	0.0148396111111111	0	0	0	0	0	0	0	0.00103714422158548	0.00528	0	0	0.00354	0.0154164175143742	0	0	0	0	0.000575	0	0.0149	0.0093525	0	0	0	0	0.00149485319516408	0	0	0.00120734453781513	0	0	0	0	0	0	0	0	0	0.00192705218929677	0	0	0	0	0	0	0.0202624752475248	0	0	0	0	0.01550375	0	0	0	0	0.004795	0.0888	0	0	0	0	0	0	0	0	0.00102	0.00071	0.00984937785640572	0	0.00835055948695268	0.745126846528085	0	0	0	0	0	0	0	0.00103714422158548	8e-04	0.00245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05271	0	0	0	0	0	0	0	0	0.0748	0	0	0	0	0.00128470145953118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014625
"14"	938	2006	5	11.69	57.67	0.000583333333333333	0.14848	0	0	0	0.0038775	0	0	0	0.00064235072976559	0	0	0	0.00064235072976559	0	0	0	0.0537333333333333	0	0.00128470145953118	0	0	0	0	0	0	9e-04	0	0	0.00187615511551155	0	0	0	0.00255	0	0	0	0	0.01854	0	0	0	0	0	0.00148	0.00120734453781513	0	0	0.0129643027698185	0.00022	0	0	0.00118	0	0	0	0.02788	0	0	0	0.00149	0.003225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00076	0	0	0	0	0	0	0	0	0	0.00037523102310231	0	0	0	0	0.00287833333333333	0	0	0	0	0.12604	0	0.03234	0	0	0	0	0.000747426597582038	0.00385	0	0	0.00142	0	0	0.00128470145953118	0	0	0	0	0	0	0.00893	0.000518572110792741	0	0	0.002205	0	0	0	0.000414705882352941	0	0	0.00192705218929677	0	0	0	0	0	0	0	0	0	0.04088	0	0.00064235072976559	0	0	0	0.000665	0	0	0.0044	0	0	0	0.00064235072976559	0.00064235072976559	0	0	0.00062	0	0.00037523102310231	0	0.0505315907415598	0	0	0	0	0	0.00476	0	0	0	0.00390157894736842	0	0	0.000975
"17"	911	2005	4	12.475	56.201	6e-05	0.00078648	0	0.002075	0.0012894280155642	0.00329235	0	0.0002275	0	0	0.484999139758204	0	0.31707234	0.00109970444935869	0	0	0	0.040114	0	0.00504566498230871	0	0	0	0	0	0	0.000216	0	0	0.00471665396039604	0	0	0	0	0	0	0.000200419193277311	0.00092225	0.0035638	0.076772	0.000134905555555556	0	0	0	1.48e-05	0	5.22e-05	0.000714666666666667	0	0.01265352	0	0.0131803	0.0098943	0	0	0	0.0034768	0	0	0	0.0005513	0.0001548	0	0	0	0	0.00308986155440414	0	0	0	0	9.25e-05	0	0	0	0	0.0003648	0	0	0.00690848209862893	0	0	0	0	0	0	0.000198872442244224	0	0	0	0	0.00016642	0	0	0	0.01509158	0.0083707	0	0	0	0.000983105280528053	0	0.0030324	0.000544375705238918	0.0294961333333333	0	0.0074358	0.0015336	0	0.00111631229372937	0.00414316220698806	0	0.00588393268465281	0	0	0	0	0.00114	0	0.00220220289716651	0.000282666666666667	0	0.00130382	0	0.000317963611233967	0.00175061176470588	0	0	0	0	0	0	0	0.0337020016217013	0	0	0	0.00571692149491376	0	0	0.00144657384343211	0	0	0.00245121038478549	0	0	0	0.00154	0	0.157754915723131	0	0.000115623131357806	0.000122046638655462	0.0002136	0.000505315907415598	0	0	0	0	0.00219427009287926	0	0	0	0	0	0.0004368	0	0	0	0	0.0002714	0	0
