"taxon"	"int_Di"	"quartile"	"decile"
"1"	"Abra alba"	0.196687807577878	"2"	"4"
"2"	"Abra nitida"	0.161451950211873	"1"	"1"
"3"	"Abyssoninoe hibernica"	0.205337992288791	"2"	"4"
"4"	"Ampelisca brevicornis"	0.270938550103304	"3"	"8"
"5"	"Ampelisca macrocephala"	0.278476327832706	"3"	"8"
"6"	"Ampelisca tenuicornis"	0.299984482174739	"4"	"9"
"7"	"Ampharete"	0.318011039871557	"4"	"10"
"8"	"Ampharete baltica"	0.322703148982718	"4"	"10"
"9"	"Ampharete falcata"	0.302396773487778	"4"	"9"
"10"	"Ampharete finmarchia (lindstroemi)"	0.311456861518913	"4"	"10"
"11"	"Amphiura"	0.189765264885709	"2"	"3"
"12"	"Amphiura chiajei"	0.119040518363305	"1"	"1"
"13"	"Amphiura filiformis"	0.131921928343264	"1"	"1"
"14"	"Anobothrus gracilis"	0.306648987820784	"4"	"9"
"15"	"Aoroidae"	0.285050451294152	"4"	"8"
"16"	"Aphrodita aculeata"	0.189209696851667	"2"	"3"
"17"	"Arctica islandica"	0.186388301252859	"1"	"3"
"18"	"Artacama proboscidea"	0.243105341416015	"3"	"6"
"19"	"Bathyporeia pilosa"	0.282967279244528	"4"	"8"
"20"	"Brada villosa"	0.253925316832706	"3"	"7"
"21"	"Brissopsis lyrifera"	0.171326992061475	"1"	"2"
"22"	"Bylgides sarsi"	0.254369730817235	"3"	"7"
"23"	"Callianassa subterranea"	0.190279796764004	"2"	"3"
"24"	"Capitella capitata"	0.307043761236522	"4"	"9"
"25"	"Caulleriella (Tharyx) killariensis"	0.25278952455631	"3"	"7"
"26"	"Cerastoderma glaucum"	0.154654902583097	"1"	"1"
"27"	"Chaetozone setosa"	0.21603519955134	"2"	"5"
"28"	"Chamelea striatula"	0.211479864958567	"2"	"4"
"29"	"Chironomidae"	0.361917856564656	"4"	"10"
"30"	"Corbula gibba"	0.139839037767121	"1"	"1"
"31"	"Corophium volutator"	0.221498037796546	"2"	"5"
"32"	"Cyathura carinata"	0.338496662652492	"4"	"10"
"33"	"Cylichna"	0.290943816320611	"4"	"9"
"34"	"Cylichna cylindracea"	0.203624304951142	"2"	"4"
"35"	"Diastylis"	0.209788486527972	"2"	"4"
"36"	"Diastylis laevis"	0.220956470393148	"2"	"5"
"37"	"Diastylis lucifera"	0.220976319315252	"2"	"5"
"38"	"Diastylis rathkei"	0.20991488011417	"2"	"4"
"39"	"Diplocirrus glaucus"	0.176277225569288	"1"	"2"
"40"	"Echinocardium cordatum"	0.127246727782101	"1"	"1"
"41"	"Edwardsiidae"	0.207208213966348	"2"	"4"
"42"	"Einhornia crustulenta"	0.340673542933518	"4"	"10"
"43"	"Ennucula tenuis"	0.167887708653664	"1"	"2"
"44"	"Eriopisa elongata"	0.247856821099601	"3"	"7"
"45"	"Eteone longa"	0.172276736472604	"1"	"2"
"46"	"Eudorella emarginata"	0.211953055822719	"2"	"4"
"47"	"Eudorella truncatula"	0.238633292285522	"3"	"6"
"48"	"Eumida bahusiensis"	0.16822986020006	"1"	"2"
"49"	"Euspira"	0.217488886030077	"2"	"5"
"50"	"Galathowenia oculata"	0.211815742300958	"2"	"4"
"51"	"Gammarus"	0.323918916493612	"4"	"10"
"52"	"Gattyana amondseni"	0.234365752565656	"3"	"6"
"53"	"Glycera alba"	0.154021588499871	"1"	"1"
"54"	"Glycera unicornis (rouxii)"	0.18436395284614	"1"	"3"
"55"	"Glycinde nordmanni"	0.196308234101537	"2"	"3"
"56"	"Golfingia"	0.276340252956688	"3"	"8"
"57"	"Goniada maculata"	0.214589107847714	"2"	"4"
"58"	"Halicryptus spinulosus"	0.237145603538475	"3"	"6"
"59"	"Harpinia antennaria"	0.269555301314006	"3"	"8"
"60"	"Hediste diversicolor"	0.266535785647091	"3"	"7"
"61"	"Heteromastus filiformis"	0.236795125285716	"3"	"6"
"62"	"Hyala vitrea"	0.271091926195398	"3"	"8"
"63"	"Hydrobia"	0.297548673261667	"4"	"9"
"64"	"Idotea balthica"	0.302100312140062	"4"	"9"
"65"	"Idothea chelipes"	0.320256101083842	"4"	"10"
"66"	"Jaera albifrons"	0.31087748360325	"4"	"9"
"67"	"Labidoplax buskii"	0.170096881366	"1"	"2"
"68"	"Laonice bahusiensis"	0.18465775374815	"1"	"3"
"69"	"Laonice cirrata"	0.182810666580579	"1"	"3"
"70"	"Leucon nasica"	0.233246335645948	"2"	"5"
"71"	"Leucothoe lilljborgii"	0.36553873388707	"4"	"10"
"72"	"Levinsenia gracilis"	0.248363919767546	"3"	"7"
"73"	"Limecola balthica"	0.159351933583153	"1"	"1"
"74"	"Littorina saxatilis"	0.286042480893083	"4"	"8"
"75"	"Lumbrineris"	0.24850552843395	"3"	"7"
"76"	"Macoma calcarea"	0.156237109525206	"1"	"1"
"77"	"Magelona alleni"	0.206194850471069	"2"	"4"
"78"	"Magelona minuta"	0.187451551343323	"2"	"3"
"79"	"Magelona mirabilis"	0.208348185359018	"2"	"4"
"80"	"Maldane sarsi"	0.279873387561857	"4"	"8"
"81"	"Marenzelleria"	0.23578148968387	"3"	"6"
"82"	"Melinna cristata"	0.302893689669226	"4"	"9"
"83"	"Microdeutopus"	0.380828265521379	"4"	"10"
