"Size"	"Reproductive type"	"Adult life span"	"Developmental mechanism"	"Environmental position"	"Living Habits"	"Feeding method"	"Mobility"	"Movement method"	"Bioturbation"	"None"
"Abra alba"	0.195517818842089	0.163822400056964	0.189561093149533	0.212086971887758	0.21315842253504	0.20522277255451	0.20806715181381	0.204613359859932	0.207626780964287	0.172192252837787	0.196687807577878
"Abra nitida"	0.154481732938872	0.163192762115361	0.160131111675758	0.17250958201725	0.170864898842402	0.163778408166826	0.165754443232127	0.166926335146286	0.166191475343487	0.132464531979124	0.161451950211873
"Abyssoninoe hibernica"	0.20484617356625	0.210177610722463	0.198454924169115	0.184892602962756	0.223392325994628	0.215749831346591	0.206718981899191	0.174966509550435	0.217678061432894	0.221005452172738	0.205337992288791
"Ampelisca brevicornis"	0.266661944914916	0.28061457747217	0.265909686808289	0.258331118340376	0.27751432915411	0.264697301824539	0.295995435012852	0.284329981219398	0.261227205510656	0.25530991369232	0.270938550103304
"Ampelisca macrocephala"	0.274411428901797	0.288704847974237	0.273659236191481	0.266764000231774	0.286436484488778	0.273460473810718	0.295969703140295	0.292419928728998	0.269990679163907	0.263743058227137	0.278476327832706
"Ampelisca tenuicornis"	0.302266867346606	0.311828748764711	0.295881604369173	0.290774644350702	0.259358965115867	0.320198473661019	0.330226503412188	0.315544490863843	0.284287101597855	0.287753164569601	0.299984482174739
"Ampharete"	0.314132274341868	0.278519077348307	0.317268579254672	0.292504456458016	0.357910567361009	0.320283419773684	0.352825420234793	0.295641995391492	0.334188925333409	0.326503834321402	0.318011039871557
"Ampharete baltica"	0.319024457154548	0.298843657878212	0.318272212417052	0.297722815475091	0.363375535962441	0.325665428586773	0.360439576066422	0.300698716473461	0.319866698233621	0.331724521913418	0.322703148982718
"Ampharete falcata"	0.298323213097155	0.284615687151324	0.301459475582641	0.274964746812049	0.339143082919718	0.301912056869749	0.334058004584376	0.27897104018603	0.309195396979646	0.308963664738509	0.302396773487778
"Ampharete finmarchia (lindstroemi)"	0.307486177188611	0.286780945326398	0.306733960097337	0.285136772316381	0.350035211817767	0.312571272834552	0.347099359823066	0.288635935745216	0.319854942610409	0.319137229136503	0.311456861518913
"Amphiura"	0.18861556582606	0.159779757793364	0.186957017099287	0.203330653505009	0.187012013921788	0.188653672704702	0.181439718579511	0.196633949308847	0.204222370801601	0.202495653836877	0.189765264885709
"Amphiura chiajei"	0.11680512713025	0.117659337298137	0.116794408988201	0.12485525131054	0.120003207413163	0.108757099757745	0.117016771390362	0.121438550498624	0.123042373560201	0.124089085841213	0.119040518363305
"Amphiura filiformis"	0.12685576765604	0.130895137097071	0.12805804690817	0.1388205790455	0.13417319149139	0.122153052262165	0.128714548351982	0.134883087363141	0.137227343771847	0.138012096002822	0.131921928343264
"Anobothrus gracilis"	0.307822397470649	0.281605760927101	0.301866141759027	0.279671171458742	0.34423162457226	0.306858595574345	0.341292562374762	0.283462779682307	0.314150229667587	0.313708806025473	0.306648987820784
"Aoroidae"	0.280912965545498	0.257633289656804	0.284049259768523	0.274200307893503	0.299908466826932	0.281341507504035	0.315154333008489	0.299383858488449	0.271249677978971	0.290145324924993	0.285050451294152
"Aphrodita aculeata"	0.186139427817091	0.193030009994812	0.18875256238852	0.168053597233061	0.203657697765323	0.190976958324452	0.156228950344179	0.196756007933114	0.205061080577509	0.202786929359401	0.189209696851667
"Arctica islandica"	0.181699091956503	0.187952059548968	0.183058372698554	0.198592059052334	0.163945636775483	0.188047519741042	0.178729072776458	0.192460782449513	0.190385064097022	0.197677999004937	0.186388301252859
"Artacama proboscidea"	0.243488021229773	0.250670771323364	0.240990059292516	0.228679413280233	0.268368957708831	0.237997533586473	0.263279064482418	0.215466061396186	0.261798648971096	0.22528179884737	0.243105341416015
"Bathyporeia pilosa"	0.273309777887424	0.263873139512127	0.272189696402203	0.271813951341712	0.279711931772453	0.300699364740775	0.290917487144019	0.297117330355955	0.275375244509383	0.307888691751986	0.282967279244528
"Brada villosa"	0.254428812408061	0.262377378402993	0.248476808972634	0.22048550714483	0.245035460536702	0.266723900914793	0.277942615262674	0.266093986708316	0.261060603578732	0.238054223531805	0.253925316832706
"Brissopsis lyrifera"	0.170020945532655	0.142622517851453	0.167420650410603	0.183256788535972	0.167491266416237	0.169174513134364	0.178788198662524	0.177258881804068	0.176906526645688	0.182472037840964	0.171326992061475
"Bylgides sarsi"	0.255275653409663	0.262965626815294	0.249324387053391	0.276440459009616	0.210293661113454	0.266811085971749	0.25525346564007	0.266681774866429	0.241481191808946	0.255553754710492	0.254369730817235
